unicode,label,color
\u4E00,Imagineer,#014771
\u4E01,Developer,#964E1D
\u4E02,Manager,#4F0485
\u4E03,Character,#1A7419
\u4E04,Builder,#12388D
\u4E05,Operator,#4F0485
\u4E06,Coordinator,#832D77
\u4E07,CastMember,#987934
\u4E08,TourGuide,#075801
\u4E09,Trainee,#075801
\u4E0A,DVC+,#014771
\u4E16,Media,#01466F
\u4E0B,DVC,#014771
\u4E0C,Club33+,#014D48
\u4E0D,Club33,#014D48
\u4E0E,D23+,#01466F
\u4E0F,D23,#01466F
\u4E10,PassHolder+,#831414
\u4E11,PassHolder,#831414
\u4E14,Guest+,#656565
\u4E15,Guest,#656565
\u4E12,VIP,#014665
\u4E60,VIP+,#923E86
\u4E89,PixelArtist,#1B4F83
\u4E98,JuniorTourGuide,#075801
\u4E99,ShowTech,#701B82
\u4E9A,Discord,#445283
\u4E9E,Artist,#2B8194
\u4EAC,Director,#79213E
\u4E17,Guest+++,#656565
\u6BAC,Former,#1A5844
