filename,char,unicode
rank_imagineer.png,一,\u4E00
rank_developer.png,丁,\u4E01
rank_manager.png,丂,\u4E02
rank_character.png,七,\u4E03
rank_builder.png,丄,\u4E04
rank_operator.png,丅,\u4E05
rank_coordinator.png,丆,\u4E06
rank_castmember.png,万,\u4E07
rank_tourguide.png,丈,\u4E08
rank_trainee.png,三,\u4E09
rank_dvcplus.png,上,\u4E0A
rank_media.png,世,\u4E16
rank_dvc.png,下,\u4E0B
rank_club33plus.png,丌,\u4E0C
rank_club33.png,不,\u4E0D
rank_d23plus.png,与,\u4E0E
rank_d23.png,丏,\u4E0F
rank_passholderplus.png,丐,\u4E10
rank_passholder.png,丑,\u4E11
rank_guestplus.png,且,\u4E14
rank_guest.png,丕,\u4E15
rank_vip.png,丒,\u4E12
rank_vipplus.png,习,\u4E60
rank_pixelartist.png,争,\u4E89
rank_juniortourguide.png,亘,\u4E98
rank_showtech.png,亙,\u4E99
rank_discord.png,亚,\u4E9A
rank_artist.png,亞,\u4E9E
rank_director.png,京,\u4EAC
rank_discord.png,毸,\u6BF8
rank_guestplusplusplus.png,丗,\u4E17
rank_former.png,殬,\u6BAC
